"partners" "sex"
"1" 12 "m"
"2" 20 "m"
"3" 19 "m"
"4" 16 "m"
"5" 9 "m"
"6" 16 "m"
"7" 17 "m"
"8" 17 "m"
"9" 13 "m"
"10" 20 "m"
"11" 16 "m"
"12" 12 "m"
"13" 13 "m"
"14" 13 "m"
"15" 15 "m"
"16" 11 "m"
"17" 18 "m"
"18" 17 "m"
"19" 18 "m"
"20" 18 "m"
"21" 15 "m"
"22" 7 "m"
"23" 16 "m"
"24" 19 "m"
"25" 12 "m"
"26" 13 "m"
"27" 16 "m"
"28" 20 "m"
"29" 14 "m"
"30" 16 "m"
"31" 14 "m"
"32" 9 "m"
"33" 18 "m"
"34" 13 "m"
"35" 19 "m"
"36" 13 "m"
"37" 21 "m"
"38" 17 "m"
"39" 13 "m"
"40" 11 "m"
"41" 12 "m"
"42" 8 "m"
"43" 17 "m"
"44" 14 "m"
"45" 18 "m"
"46" 16 "m"
"47" 12 "m"
"48" 11 "m"
"49" 20 "m"
"50" 22 "m"
"51" 13 "m"
"52" 10 "m"
"53" 10 "m"
"54" 24 "m"
"55" 14 "m"
"56" 17 "m"
"57" 15 "m"
"58" 12 "m"
"59" 9 "m"
"60" 20 "m"
"61" 15 "m"
"62" 23 "m"
"63" 16 "m"
"64" 12 "m"
"65" 14 "m"
"66" 17 "m"
"67" 19 "m"
"68" 15 "m"
"69" 14 "m"
"70" 11 "m"
"71" 12 "m"
"72" 19 "m"
"73" 17 "m"
"74" 14 "m"
"75" 13 "m"
"76" 13 "m"
"77" 18 "m"
"78" 13 "m"
"79" 19 "m"
"80" 17 "m"
"81" 20 "m"
"82" 11 "m"
"83" 19 "m"
"84" 17 "m"
"85" 21 "m"
"86" 17 "m"
"87" 10 "m"
"88" 15 "m"
"89" 18 "m"
"90" 18 "m"
"91" 11 "m"
"92" 11 "m"
"93" 10 "m"
"94" 21 "m"
"95" 17 "m"
"96" 18 "m"
"97" 16 "m"
"98" 21 "m"
"99" 12 "m"
"100" 15 "m"
"101" 2 "f"
"102" 1 "f"
"103" 0 "f"
"104" 2 "f"
"105" 3 "f"
"106" 1 "f"
"107" 0 "f"
"108" 1 "f"
"109" 2 "f"
"110" 1 "f"
"111" 3 "f"
"112" 3 "f"
"113" 2 "f"
"114" 2 "f"
"115" 2 "f"
"116" 1 "f"
"117" 2 "f"
"118" 4 "f"
"119" 1 "f"
"120" 2 "f"
"121" 1 "f"
"122" 2 "f"
"123" 0 "f"
"124" 2 "f"
"125" 4 "f"
"126" 3 "f"
"127" 4 "f"
"128" 2 "f"
"129" 2 "f"
"130" 2 "f"
"131" 0 "f"
"132" 1 "f"
"133" 2 "f"
"134" 1 "f"
"135" 4 "f"
"136" 2 "f"
"137" 1 "f"
"138" 1 "f"
"139" 3 "f"
"140" 3 "f"
"141" 1 "f"
"142" 0 "f"
"143" 3 "f"
"144" 2 "f"
"145" 1 "f"
"146" 0 "f"
"147" 0 "f"
"148" 1 "f"
"149" 1 "f"
"150" 1 "f"
"151" 1 "f"
"152" 1 "f"
"153" 1 "f"
"154" 2 "f"
"155" 3 "f"
"156" 0 "f"
"157" 2 "f"
"158" 4 "f"
"159" 1 "f"
"160" 0 "f"
"161" 1 "f"
"162" 1 "f"
"163" 1 "f"
"164" 0 "f"
"165" 1 "f"
"166" 1 "f"
"167" 0 "f"
"168" 5 "f"
"169" 1 "f"
"170" 2 "f"
"171" 3 "f"
"172" 0 "f"
"173" 0 "f"
"174" 0 "f"
"175" 4 "f"
"176" 2 "f"
"177" 0 "f"
"178" 2 "f"
"179" 2 "f"
"180" 1 "f"
"181" 6 "f"
"182" 1 "f"
"183" 3 "f"
"184" 0 "f"
"185" 1 "f"
"186" 1 "f"
"187" 1 "f"
"188" 3 "f"
"189" 3 "f"
"190" 1 "f"
"191" 2 "f"
"192" 0 "f"
"193" 1 "f"
"194" 5 "f"
"195" 2 "f"
"196" 2 "f"
"197" 1 "f"
"198" 1 "f"
"199" 7 "f"
"200" 3 "f"
