Vaccine,Day,Abs
Past 1,100,0.097
Past 1,100,0.141
Past 1,100,0.412
Past 1,100,0.411
Past 1,100,0.188
Past 1,100,0.169
Past 1,100,0.251
Past 1,100,0.235
Past 1,100,0.142
Past 1,100,0.146
Past 1,100,0.069
Past 1,100,0.117
Past 1,100,0.202
Past 1,100,0.417
Past 1,100,0.170
Past 1,100,0.218
Past 1,100,0.149
Past 1,100,0.160
Past 1,100,0.043
Past 1,100,0.094
Past 1,100,0.193
Past 1,100,0.247
Past 1,100,0.097
Past 1,100,0.107
Past 1,100,0.184
Past 1,100,0.180
Past 1,100,0.232
Past 1,100,0.079
Past 1,100,0.234
Past 1,100,0.260
Past 1,100,0.251
Past 1,100,0.229
Past 1,100,0.090
Past 1,100,0.094
Past 1,100,0.142
Past 1,100,0.157
Past 1,100,0.131
Past 1,100,0.131
Past 1,100,0.123
Past 1,100,0.120
Past 2,100,0.190
Past 2,100,0.213
Past 2,100,0.145
Past 2,100,0.124
Past 2,100,0.114
Past 2,100,0.127
Past 2,100,0.030
Past 2,100,0.170
Past 2,100,0.108
Past 2,100,0.116
Past 2,100,0.049
Past 2,100,0.107
Past 2,100,0.094
Past 2,100,0.082
Past 2,100,0.139
Past 2,100,0.124
Past 2,100,0.122
Past 2,100,0.113
Past 2,100,0.195
Past 2,100,0.232
Past 2,100,0.105
Past 2,100,0.116
Past 2,100,0.068
Past 2,100,0.136
Past 2,100,0.185
Past 2,100,0.199
Past 2,100,0.180
Past 2,100,0.189
Past 2,100,0.156
Past 2,100,0.143
Past 2,100,0.096
Past 2,100,0.080
Past 2,100,0.137
Past 2,100,0.082
Past 2,100,0.065
Past 2,100,0.073
Past 2,100,0.088
Past 2,100,0.085
Past 2,100,0.114
Past 2,100,0.127
Past 1,200,0.220
Past 1,200,0.145
Past 1,200,0.102
Past 1,200,0.109
Past 1,200,0.115
Past 1,200,0.123
Past 1,200,0.092
Past 1,200,0.060
Past 1,200,0.156
Past 1,200,0.182
Past 1,200,0.201
Past 1,200,0.190
Past 1,200,0.204
Past 1,200,0.182
Past 1,200,0.146
Past 1,200,0.192
Past 1,200,0.179
Past 1,200,0.157
Past 1,200,0.116
Past 1,200,0.089
Past 1,200,0.129
Past 1,200,0.148
Past 1,200,0.133
Past 1,200,0.137
Past 1,200,0.109
Past 1,200,0.117
Past 1,200,0.170
Past 1,200,0.141
Past 1,200,0.254
Past 1,200,0.225
Past 1,200,0.183
Past 1,200,0.152
Past 1,200,0.149
Past 1,200,0.101
Past 1,200,0.254
Past 1,200,0.205
Past 1,200,0.140
Past 1,200,0.121
Past 1,200,0.136
Past 1,200,0.151
Past 2,200,0.121
Past 2,200,0.113
Past 2,200,0.151
Past 2,200,0.142
Past 2,200,0.149
Past 2,200,0.146
Past 2,200,0.157
Past 2,200,0.267
Past 2,200,0.159
Past 2,200,0.236
Past 2,200,0.159
Past 2,200,0.122
Past 2,200,0.126
