"income","country","expenditure","accomodation","year"
18810,"Netherlands",680,"B&B","1994"
15675,"Netherlands",331.1,"Camping","1994"
35000,"Netherlands",462.5,"Room","1994"
30000,"Netherlands",433.91667,"Camping","1994"
21945,"Netherlands",400.6,"Camping","1994"
13794,"Netherlands",381.56625,"Camping","1994"
23826,"Netherlands",272.84848,"Camping","1994"
60000,"USA",1203.57143,"Appartment","1994"
55250,"USA",1385.71429,"Hotel","1994"
18810,"Netherlands",516.25,"B&B","1994"
21945,"Netherlands",291.48333,"Camping","1994"
20691,"Netherlands",425.90714,"Camping","1994"
37620,"Netherlands",186.78571,"Camping","1994"
78375,"Netherlands",379.53654,"Camping","1994"
18810,"Netherlands",203.70968,"Camping","1994"
33150,"USA",687.14286,"Hotel","1994"
52247.91,"Netherlands",543.4,"Camping","1994"
43890,"Netherlands",1174.69167,"Hotel","1994"
28215,"Netherlands",402.49107,"Camping","1994"
30096,"Netherlands",433.09722,"Camping","1994"
48906,"Netherlands",1300,"Camping","1994"
18810,"Netherlands",725.69792,"Hotel","1994"
20691,"Netherlands",385.9375,"Camping","1994"
31350,"Netherlands",197.96691,"Camping","1994"
50160,"Netherlands",1075,"Camping","1994"
27274.5,"Netherlands",342.14286,"Camping","1994"
25080,"Netherlands",361.725,"Camping","1994"
21945,"Netherlands",692.95,"Camping","1994"
28215,"Netherlands",383.4375,"Camping","1994"
37620,"Netherlands",686.45938,"Camping","1994"
34485,"Netherlands",225.78333,"Camping","1994"
20064,"Netherlands",306.75,"Camping","1994"
143650,"USA",1088.33333,"Hotel","1994"
17556,"Netherlands",616.66667,"Camping","1994"
50160,"Netherlands",498.465,"Camping","1994"
18810,"Netherlands",331.9325,"Camping","1994"
32604,"Netherlands",263.88286,"Camping","1994"
18810,"Netherlands",514.375,"Room","1994"
25080,"Netherlands",418.33333,"Camping","1994"
26334,"Netherlands",574.58333,"Camping","1994"
52041,"Netherlands",395.98824,"Camping","1994"
37620,"Netherlands",307.5,"Camping","1994"
15675,"Netherlands",409.20673,"Camping","1994"
